login,org
tfariassantanna,ps-investments;ps-digital-payments;pagbank;ps-customer;pagseguro-core
aalrodrigues,ps-digital-payments
aarthuzo,ps-digital-payments;ps-psp
adbarroso,ps-digital-payments;pagbank
Adelinope,ps-digital-payments;pagbank;ps-mobileappchannel;developer-productivity
adrsantin,ps-digital-payments;ps-customer;pagseguro-core
alcarneiropagseguro,ps-digital-payments;developer-productivity
alexsousa-sre,ps-digital-payments;ps-third-party-services;ps-corp-platform;ps-yami;ps-psp;developer-productivity
altitdb,ps-digital-payments;ps-psp;developer-productivity
andrevbarbosa,ps-digital-payments
casseb,ps-digital-payments;pagseguro-core
daniloyamamoto,ps-digital-payments;ps-corp-platform;ps-acquirer;ps-customer;pagseguro-core
edshiba,ps-digital-payments;ps-customer
fborges,ps-digital-payments;pagbank
febpetroni,ps-digital-payments;ps-corp-platform;ps-customer;pagseguro-core
Felisoni,ps-digital-payments
gerffson,ps-digital-payments;pagseguro-core
gmandrade21,ps-digital-payments;ps-corp-platform;ps-customer;developer-productivity
guiroliveira,ps-digital-payments;ps-corp-platform;ps-acquirer;ps-yami;ps-psp;developer-productivity
ice-joliveira,ps-digital-payments;ps-yami;developer-productivity
ice-tcruz,ps-digital-payments;ps-yami;developer-productivity;pagseguro-core
IgorCarvalhoUol,ps-digital-payments;pagseguro-core
jealmeidauolinc,ps-digital-payments;ps-infra;ps-apichannel;ps-customer;pagseguro-core
jvernieri,ps-digital-payments;pagseguro-core
Karina-Nakashima,ps-digital-payments;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
l-loureiro,ps-digital-payments
LeonardoAMesquita,ps-digital-payments;ps-yami
LUCASROCHA90,ps-digital-payments
MarcioCosta78,ps-digital-payments;developer-productivity;pagseguro-core
mathgraca,ps-digital-payments;pagseguro-core
MichaelBrendo,ps-digital-payments;pagseguro-core
MichelCordeiro,ps-digital-payments
mjpguerra,ps-digital-payments;pagbank
MuriloMarquez111,ps-digital-payments;pagbank;ps-mobileappchannel
nataliagalotto,ps-digital-payments
olavoparno,ps-digital-payments;pagbank;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
oniliaguarato,ps-digital-payments;pagbank;ps-mobileappchannel
otavioremedio,ps-digital-payments;pagseguro-core
rafaelcarmonagil,ps-digital-payments;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
Renatamaia86,ps-digital-payments
rffarias,ps-digital-payments
s2itgsilveira,ps-digital-payments;pagseguro-core
silva-andrre,ps-digital-payments;ps-customer
tacitolima,ps-digital-payments;pagbank;ps-mobileappchannel;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
tgoes2607,ps-digital-payments;developer-productivity;pagseguro-core
thitorodrigo,ps-digital-payments;ps-corp-platform;pagseguro-core
tqi-csouza,ps-digital-payments;ps-corp-platform;developer-productivity;pagseguro-core
tqi-garvelos,ps-digital-payments
tqi-jparreira,ps-digital-payments;ps-psp;pagseguro-core
tqi-lbrito,ps-digital-payments;pagbank;ps-mobileappchannel
tqiadsoares,ps-digital-payments
tqiafranco,ps-digital-payments
tqifdiniz,ps-digital-payments;ps-apichannel;ps-corp-platform;pagseguro-core
tqilabreu,ps-digital-payments;ps-customer
tqirmaia,ps-digital-payments;ps-apichannel;ps-corp-platform;pagseguro-core
VFagundes,ps-digital-payments;pagbank
YanZingraPereira,ps-digital-payments;pagseguro-core
aromfeld,ps-wallet;pagbank;ps-store;ps-acquirer;ps-yami;ps-customer;developer-productivity;pagseguro-core
tqi-vmarins,ps-wallet;pagbank;ps-mobileappchannel
tqi-warantes,ps-wallet;pagbank;ps-mobileappchannel;pagseguro-core
adiegues-zz,pagbank;pagseguro-core
agnunes,pagbank;ps-financial-services;ps-mobileappchannel;ps-customer
Aline-Barreto,pagbank;ps-financial-services;ps-corp-platform;pagseguro-core
amalheiros,pagbank;ps-customer
anaaoki,pagbank;ps-customer;pagseguro-core
atilabraga,pagbank;developer-productivity
avgomes,pagbank;developer-productivity
bfurtado-uolinc,pagbank;ps-third-party-services;ps-customer
bobzlolo,pagbank
brow-joe,pagbank;ps-mobileappchannel;ps-apichannel;ps-customer;pagseguro-core
brpimentel,pagbank;ps-web-channel;ps-corp-platform;ps-customer
brunosouzar,pagbank
camoraes,pagbank
cernandes-ps,pagbank;ps-customer
cintiapedroso,pagbank;ps-store;ps-customer;ps-psp;pagseguro-core
CristinoDivino,pagbank;ps-mobileappchannel
ctlltargino,pagbank;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-acquirer;pagseguro-core
danascimento,pagbank;ps-mobileappchannel;pagseguro-core
